"Name","slide","Group"
"201405619 DIFF.ndpi.h8.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h9.jpg","201405619","DIFF"
"201405861 B MET.ndpi.h1.jpg","201405861","MET"
"201405861 B MET.ndpi.h10.jpg","201405861","MET"
"201405861 B MET.ndpi.h11.jpg","201405861","MET"
"201405861 B MET.ndpi.h12.jpg","201405861","MET"
"201405861 B MET.ndpi.h13.jpg","201405861","MET"
"201405861 B MET.ndpi.h14.jpg","201405861","MET"
"201405861 B MET.ndpi.h15.jpg","201405861","MET"
"201405861 B MET.ndpi.h16.jpg","201405861","MET"
"201405861 B MET.ndpi.h17.jpg","201405861","MET"
"201405861 B MET.ndpi.h18.jpg","201405861","MET"
"201405861 B MET.ndpi.h19.jpg","201405861","MET"
"201405861 B MET.ndpi.h2.jpg","201405861","MET"
"201405861 B MET.ndpi.h20.jpg","201405861","MET"
"201405861 B MET.ndpi.h21.jpg","201405861","MET"
"201405861 B MET.ndpi.h22.jpg","201405861","MET"
"201405861 B MET.ndpi.h23.jpg","201405861","MET"
"201405861 B MET.ndpi.h24.jpg","201405861","MET"
"201405861 B MET.ndpi.h25.jpg","201405861","MET"
"201405861 B MET.ndpi.h26.jpg","201405861","MET"
"201405861 B MET.ndpi.h27.jpg","201405861","MET"
"201405861 B MET.ndpi.h28.jpg","201405861","MET"
"201405861 B MET.ndpi.h29.jpg","201405861","MET"
"201405861 B MET.ndpi.h3.jpg","201405861","MET"
"201405861 B MET.ndpi.h30.jpg","201405861","MET"
"201405861 B MET.ndpi.h31.jpg","201405861","MET"
"201405861 B MET.ndpi.h32.jpg","201405861","MET"
"201405861 B MET.ndpi.h33.jpg","201405861","MET"
"201405861 B MET.ndpi.h34.jpg","201405861","MET"
"201405861 B MET.ndpi.h35.jpg","201405861","MET"
"201405861 B MET.ndpi.h36.jpg","201405861","MET"
"201405861 B MET.ndpi.h37.jpg","201405861","MET"
"201405861 B MET.ndpi.h38.jpg","201405861","MET"
"201405861 B MET.ndpi.h39.jpg","201405861","MET"
"201405861 B MET.ndpi.h4.jpg","201405861","MET"
"201405861 B MET.ndpi.h40.jpg","201405861","MET"
"201405861 B MET.ndpi.h41.jpg","201405861","MET"
"201405861 B MET.ndpi.h42.jpg","201405861","MET"
"201405861 B MET.ndpi.h43.jpg","201405861","MET"
"201405861 B MET.ndpi.h44.jpg","201405861","MET"
"201405861 B MET.ndpi.h45.jpg","201405861","MET"
"201405861 B MET.ndpi.h46.jpg","201405861","MET"
"201405861 B MET.ndpi.h47.jpg","201405861","MET"
"201405861 B MET.ndpi.h48.jpg","201405861","MET"
"201405861 B MET.ndpi.h49.jpg","201405861","MET"
"201405861 B MET.ndpi.h5.jpg","201405861","MET"
"201405861 B MET.ndpi.h50.jpg","201405861","MET"
"201405861 B MET.ndpi.h51.jpg","201405861","MET"
"201405861 B MET.ndpi.h6.jpg","201405861","MET"
"201405861 B MET.ndpi.h7.jpg","201405861","MET"
"201405861 B MET.ndpi.h8.jpg","201405861","MET"
"201405861 B MET.ndpi.h9.jpg","201405861","MET"
"201405861 MET.ndpi.h1.jpg","201405861","MET"
"201405861 MET.ndpi.h10.jpg","201405861","MET"
"201405861 MET.ndpi.h11.jpg","201405861","MET"
"201405861 MET.ndpi.h12.jpg","201405861","MET"
"201405861 MET.ndpi.h13.jpg","201405861","MET"
"201405861 MET.ndpi.h14.jpg","201405861","MET"
"201405861 MET.ndpi.h15.jpg","201405861","MET"
"201405861 MET.ndpi.h16.jpg","201405861","MET"
"201405861 MET.ndpi.h17.jpg","201405861","MET"
"201405861 MET.ndpi.h18.jpg","201405861","MET"
"201405861 MET.ndpi.h19.jpg","201405861","MET"
"201405861 MET.ndpi.h2.jpg","201405861","MET"
"201405861 MET.ndpi.h20.jpg","201405861","MET"
"201405861 MET.ndpi.h21.jpg","201405861","MET"
"201405861 MET.ndpi.h22.jpg","201405861","MET"
"201405861 MET.ndpi.h23.jpg","201405861","MET"
"201405861 MET.ndpi.h24.jpg","201405861","MET"
"201405861 MET.ndpi.h25.jpg","201405861","MET"
"201405861 MET.ndpi.h26.jpg","201405861","MET"
"201405861 MET.ndpi.h27.jpg","201405861","MET"
"201405861 MET.ndpi.h28.jpg","201405861","MET"
"201405861 MET.ndpi.h29.jpg","201405861","MET"
"201405861 MET.ndpi.h3.jpg","201405861","MET"
"201405861 MET.ndpi.h30.jpg","201405861","MET"
"201405861 MET.ndpi.h31.jpg","201405861","MET"
"201405861 MET.ndpi.h32.jpg","201405861","MET"
"201405861 MET.ndpi.h33.jpg","201405861","MET"
"201405861 MET.ndpi.h34.jpg","201405861","MET"
"201405861 MET.ndpi.h35.jpg","201405861","MET"
"201405861 MET.ndpi.h36.jpg","201405861","MET"
"201405861 MET.ndpi.h37.jpg","201405861","MET"
"201405861 MET.ndpi.h38.jpg","201405861","MET"
"201405861 MET.ndpi.h39.jpg","201405861","MET"
"201405861 MET.ndpi.h4.jpg","201405861","MET"
"201405861 MET.ndpi.h40.jpg","201405861","MET"
"201405861 MET.ndpi.h41.jpg","201405861","MET"
"201405861 MET.ndpi.h42.jpg","201405861","MET"
"201405861 MET.ndpi.h43.jpg","201405861","MET"
"201405861 MET.ndpi.h44.jpg","201405861","MET"
"201405861 MET.ndpi.h45.jpg","201405861","MET"
"201405861 MET.ndpi.h46.jpg","201405861","MET"
"201405861 MET.ndpi.h47.jpg","201405861","MET"
"201405861 MET.ndpi.h48.jpg","201405861","MET"
"201405861 MET.ndpi.h49.jpg","201405861","MET"
"201405861 MET.ndpi.h5.jpg","201405861","MET"
"201405861 MET.ndpi.h50.jpg","201405861","MET"
"201405861 MET.ndpi.h51.jpg","201405861","MET"
"201405861 MET.ndpi.h6.jpg","201405861","MET"
"201405861 MET.ndpi.h7.jpg","201405861","MET"
"201405861 MET.ndpi.h8.jpg","201405861","MET"
"201405861 MET.ndpi.h9.jpg","201405861","MET"
"201405978 IMM.ndpi.h1.jpg","201405978","IMM"
"201405978 IMM.ndpi.h10.jpg","201405978","IMM"
"201405978 IMM.ndpi.h11.jpg","201405978","IMM"
"201405978 IMM.ndpi.h12.jpg","201405978","IMM"
"201405978 IMM.ndpi.h13.jpg","201405978","IMM"
"201405978 IMM.ndpi.h14.jpg","201405978","IMM"
"201405978 IMM.ndpi.h15.jpg","201405978","IMM"
"201405978 IMM.ndpi.h16.jpg","201405978","IMM"
"201405978 IMM.ndpi.h17.jpg","201405978","IMM"
"201405978 IMM.ndpi.h18.jpg","201405978","IMM"
"201405978 IMM.ndpi.h19.jpg","201405978","IMM"
"201405978 IMM.ndpi.h2.jpg","201405978","IMM"
"201405978 IMM.ndpi.h20.jpg","201405978","IMM"
"201405978 IMM.ndpi.h21.jpg","201405978","IMM"
"201405978 IMM.ndpi.h22.jpg","201405978","IMM"
"201405978 IMM.ndpi.h23.jpg","201405978","IMM"
"201405978 IMM.ndpi.h24.jpg","201405978","IMM"
"201405978 IMM.ndpi.h25.jpg","201405978","IMM"
"201405978 IMM.ndpi.h26.jpg","201405978","IMM"
"201405978 IMM.ndpi.h27.jpg","201405978","IMM"
"201405978 IMM.ndpi.h28.jpg","201405978","IMM"
"201405978 IMM.ndpi.h29.jpg","201405978","IMM"
"201405978 IMM.ndpi.h3.jpg","201405978","IMM"
"201405978 IMM.ndpi.h30.jpg","201405978","IMM"
"201405978 IMM.ndpi.h31.jpg","201405978","IMM"
"201405978 IMM.ndpi.h32.jpg","201405978","IMM"
"201405978 IMM.ndpi.h33.jpg","201405978","IMM"
"201405978 IMM.ndpi.h34.jpg","201405978","IMM"
"201405978 IMM.ndpi.h35.jpg","201405978","IMM"
"201405978 IMM.ndpi.h36.jpg","201405978","IMM"
"201405978 IMM.ndpi.h37.jpg","201405978","IMM"
"201405978 IMM.ndpi.h38.jpg","201405978","IMM"
"201405978 IMM.ndpi.h39.jpg","201405978","IMM"
"201405978 IMM.ndpi.h4.jpg","201405978","IMM"
"201405978 IMM.ndpi.h40.jpg","201405978","IMM"
"201405978 IMM.ndpi.h41.jpg","201405978","IMM"
"201405978 IMM.ndpi.h42.jpg","201405978","IMM"
"201405978 IMM.ndpi.h43.jpg","201405978","IMM"
"201405978 IMM.ndpi.h44.jpg","201405978","IMM"
"201405978 IMM.ndpi.h45.jpg","201405978","IMM"
"201405978 IMM.ndpi.h46.jpg","201405978","IMM"
"201405978 IMM.ndpi.h47.jpg","201405978","IMM"
"201405978 IMM.ndpi.h48.jpg","201405978","IMM"
"201405978 IMM.ndpi.h49.jpg","201405978","IMM"
"201405978 IMM.ndpi.h5.jpg","201405978","IMM"
"201405978 IMM.ndpi.h50.jpg","201405978","IMM"
"201405978 IMM.ndpi.h51.jpg","201405978","IMM"
"201405978 IMM.ndpi.h6.jpg","201405978","IMM"
"201405978 IMM.ndpi.h7.jpg","201405978","IMM"
"201405978 IMM.ndpi.h8.jpg","201405978","IMM"
"201405978 IMM.ndpi.h9.jpg","201405978","IMM"
"201405979 STEM.ndpi.h1.jpg","201405979","STEM"
"201405979 STEM.ndpi.h10.jpg","201405979","STEM"
"201405979 STEM.ndpi.h11.jpg","201405979","STEM"
"201405979 STEM.ndpi.h12.jpg","201405979","STEM"
"201405979 STEM.ndpi.h13.jpg","201405979","STEM"
"201405979 STEM.ndpi.h14.jpg","201405979","STEM"
"201405979 STEM.ndpi.h15.jpg","201405979","STEM"
"201405979 STEM.ndpi.h16.jpg","201405979","STEM"
"201405979 STEM.ndpi.h17.jpg","201405979","STEM"
"201405979 STEM.ndpi.h18.jpg","201405979","STEM"
"201405979 STEM.ndpi.h19.jpg","201405979","STEM"
"201405979 STEM.ndpi.h2.jpg","201405979","STEM"
"201405979 STEM.ndpi.h20.jpg","201405979","STEM"
"201405979 STEM.ndpi.h21.jpg","201405979","STEM"
"201405979 STEM.ndpi.h22.jpg","201405979","STEM"
"201405979 STEM.ndpi.h23.jpg","201405979","STEM"
"201405979 STEM.ndpi.h24.jpg","201405979","STEM"
"201405979 STEM.ndpi.h25.jpg","201405979","STEM"
"201405979 STEM.ndpi.h26.jpg","201405979","STEM"
"201405979 STEM.ndpi.h27.jpg","201405979","STEM"
"201405979 STEM.ndpi.h28.jpg","201405979","STEM"
"201405979 STEM.ndpi.h29.jpg","201405979","STEM"
"201405979 STEM.ndpi.h3.jpg","201405979","STEM"
"201405979 STEM.ndpi.h30.jpg","201405979","STEM"
"201405979 STEM.ndpi.h31.jpg","201405979","STEM"
"201405979 STEM.ndpi.h32.jpg","201405979","STEM"
"201405979 STEM.ndpi.h33.jpg","201405979","STEM"
"201405979 STEM.ndpi.h34.jpg","201405979","STEM"
"201405979 STEM.ndpi.h35.jpg","201405979","STEM"
"201405979 STEM.ndpi.h36.jpg","201405979","STEM"
"201405979 STEM.ndpi.h37.jpg","201405979","STEM"
"201405979 STEM.ndpi.h38.jpg","201405979","STEM"
"201405979 STEM.ndpi.h39.jpg","201405979","STEM"
"201405979 STEM.ndpi.h4.jpg","201405979","STEM"
"201405979 STEM.ndpi.h40.jpg","201405979","STEM"
"201405979 STEM.ndpi.h41.jpg","201405979","STEM"
"201405979 STEM.ndpi.h42.jpg","201405979","STEM"
"201405979 STEM.ndpi.h43.jpg","201405979","STEM"
"201405979 STEM.ndpi.h44.jpg","201405979","STEM"
"201405979 STEM.ndpi.h45.jpg","201405979","STEM"
"201405979 STEM.ndpi.h46.jpg","201405979","STEM"
"201405979 STEM.ndpi.h47.jpg","201405979","STEM"
"201405979 STEM.ndpi.h48.jpg","201405979","STEM"
"201405979 STEM.ndpi.h49.jpg","201405979","STEM"
"201405979 STEM.ndpi.h5.jpg","201405979","STEM"
"201405979 STEM.ndpi.h50.jpg","201405979","STEM"
"201405979 STEM.ndpi.h51.jpg","201405979","STEM"
"201405979 STEM.ndpi.h6.jpg","201405979","STEM"
"201405979 STEM.ndpi.h7.jpg","201405979","STEM"
"201405979 STEM.ndpi.h8.jpg","201405979","STEM"
"201405979 STEM.ndpi.h9.jpg","201405979","STEM"
"201405980 DIFF.ndpi.h1.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h10.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h11.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h12.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h13.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h14.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h15.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h16.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h17.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h18.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h19.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h2.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h20.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h21.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h22.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h23.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h24.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h25.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h26.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h27.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h28.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h29.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h3.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h30.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h31.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h32.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h33.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h34.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h35.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h36.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h37.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h38.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h39.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h4.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h40.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h41.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h42.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h43.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h44.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h45.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h46.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h47.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h48.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h49.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h5.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h50.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h51.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h6.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h7.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h8.jpg","201405980","DIFF"
"201405980 DIFF.ndpi.h9.jpg","201405980","DIFF"
"201406028 DIFF.ndpi.h1.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h10.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h11.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h12.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h13.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h14.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h15.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h16.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h17.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h18.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h19.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h2.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h20.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h21.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h22.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h23.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h24.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h25.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h26.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h27.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h28.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h29.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h3.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h30.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h31.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h32.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h33.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h34.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h35.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h36.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h37.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h38.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h39.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h4.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h40.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h41.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h42.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h43.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h44.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h45.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h46.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h47.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h48.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h49.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h5.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h50.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h51.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h6.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h7.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h8.jpg","201406028","DIFF"
"201406028 DIFF.ndpi.h9.jpg","201406028","DIFF"
"201406395 MET.ndpi.h1.jpg","201406395","MET"
"201406395 MET.ndpi.h10.jpg","201406395","MET"
"201406395 MET.ndpi.h11.jpg","201406395","MET"
"201406395 MET.ndpi.h12.jpg","201406395","MET"
"201406395 MET.ndpi.h13.jpg","201406395","MET"
"201406395 MET.ndpi.h14.jpg","201406395","MET"
"201406395 MET.ndpi.h15.jpg","201406395","MET"
"201406395 MET.ndpi.h16.jpg","201406395","MET"
"201406395 MET.ndpi.h17.jpg","201406395","MET"
"201406395 MET.ndpi.h18.jpg","201406395","MET"
"201406395 MET.ndpi.h19.jpg","201406395","MET"
"201406395 MET.ndpi.h2.jpg","201406395","MET"
"201406395 MET.ndpi.h20.jpg","201406395","MET"
"201406395 MET.ndpi.h21.jpg","201406395","MET"
"201406395 MET.ndpi.h22.jpg","201406395","MET"
"201406395 MET.ndpi.h23.jpg","201406395","MET"
"201406395 MET.ndpi.h24.jpg","201406395","MET"
"201406395 MET.ndpi.h25.jpg","201406395","MET"
"201406395 MET.ndpi.h26.jpg","201406395","MET"
"201406395 MET.ndpi.h27.jpg","201406395","MET"
"201406395 MET.ndpi.h28.jpg","201406395","MET"
"201406395 MET.ndpi.h29.jpg","201406395","MET"
"201406395 MET.ndpi.h3.jpg","201406395","MET"
"201406395 MET.ndpi.h30.jpg","201406395","MET"
"201406395 MET.ndpi.h31.jpg","201406395","MET"
"201406395 MET.ndpi.h32.jpg","201406395","MET"
"201406395 MET.ndpi.h33.jpg","201406395","MET"
"201406395 MET.ndpi.h34.jpg","201406395","MET"
"201406395 MET.ndpi.h35.jpg","201406395","MET"
"201406395 MET.ndpi.h36.jpg","201406395","MET"
"201406395 MET.ndpi.h37.jpg","201406395","MET"
"201406395 MET.ndpi.h38.jpg","201406395","MET"
"201406395 MET.ndpi.h39.jpg","201406395","MET"
"201406395 MET.ndpi.h4.jpg","201406395","MET"
"201406395 MET.ndpi.h40.jpg","201406395","MET"
"201406395 MET.ndpi.h41.jpg","201406395","MET"
"201406395 MET.ndpi.h42.jpg","201406395","MET"
"201406395 MET.ndpi.h43.jpg","201406395","MET"
"201406395 MET.ndpi.h44.jpg","201406395","MET"
"201406395 MET.ndpi.h45.jpg","201406395","MET"
"201406395 MET.ndpi.h46.jpg","201406395","MET"
"201406395 MET.ndpi.h47.jpg","201406395","MET"
"201406395 MET.ndpi.h48.jpg","201406395","MET"
"201406395 MET.ndpi.h49.jpg","201406395","MET"
"201406395 MET.ndpi.h5.jpg","201406395","MET"
"201406395 MET.ndpi.h50.jpg","201406395","MET"
"201406395 MET.ndpi.h51.jpg","201406395","MET"
"201406395 MET.ndpi.h6.jpg","201406395","MET"
"201406395 MET.ndpi.h7.jpg","201406395","MET"
"201406395 MET.ndpi.h8.jpg","201406395","MET"
"201406395 MET.ndpi.h9.jpg","201406395","MET"
"201406579 IMM.ndpi.h1.jpg","201406579","IMM"
"201406579 IMM.ndpi.h10.jpg","201406579","IMM"
"201406579 IMM.ndpi.h11.jpg","201406579","IMM"
"201406579 IMM.ndpi.h12.jpg","201406579","IMM"
"201406579 IMM.ndpi.h13.jpg","201406579","IMM"
"201406579 IMM.ndpi.h14.jpg","201406579","IMM"
"201406579 IMM.ndpi.h15.jpg","201406579","IMM"
"201406579 IMM.ndpi.h16.jpg","201406579","IMM"
"201406579 IMM.ndpi.h17.jpg","201406579","IMM"
"201406579 IMM.ndpi.h18.jpg","201406579","IMM"
"201406579 IMM.ndpi.h19.jpg","201406579","IMM"
"201406579 IMM.ndpi.h2.jpg","201406579","IMM"
"201406579 IMM.ndpi.h20.jpg","201406579","IMM"
"201406579 IMM.ndpi.h21.jpg","201406579","IMM"
"201406579 IMM.ndpi.h22.jpg","201406579","IMM"
"201406579 IMM.ndpi.h23.jpg","201406579","IMM"
"201406579 IMM.ndpi.h24.jpg","201406579","IMM"
"201406579 IMM.ndpi.h25.jpg","201406579","IMM"
"201406579 IMM.ndpi.h26.jpg","201406579","IMM"
"201406579 IMM.ndpi.h27.jpg","201406579","IMM"
"201406579 IMM.ndpi.h28.jpg","201406579","IMM"
"201406579 IMM.ndpi.h29.jpg","201406579","IMM"
"201406579 IMM.ndpi.h3.jpg","201406579","IMM"
"201406579 IMM.ndpi.h30.jpg","201406579","IMM"
"201406579 IMM.ndpi.h31.jpg","201406579","IMM"
"201406579 IMM.ndpi.h32.jpg","201406579","IMM"
"201406579 IMM.ndpi.h33.jpg","201406579","IMM"
"201406579 IMM.ndpi.h34.jpg","201406579","IMM"
"201406579 IMM.ndpi.h35.jpg","201406579","IMM"
"201406579 IMM.ndpi.h36.jpg","201406579","IMM"
"201406579 IMM.ndpi.h37.jpg","201406579","IMM"
"201406579 IMM.ndpi.h38.jpg","201406579","IMM"
"201406579 IMM.ndpi.h39.jpg","201406579","IMM"
"201406579 IMM.ndpi.h4.jpg","201406579","IMM"
"201406579 IMM.ndpi.h40.jpg","201406579","IMM"
"201406579 IMM.ndpi.h41.jpg","201406579","IMM"
"201406579 IMM.ndpi.h42.jpg","201406579","IMM"
"201406579 IMM.ndpi.h43.jpg","201406579","IMM"
"201406579 IMM.ndpi.h44.jpg","201406579","IMM"
"201406579 IMM.ndpi.h45.jpg","201406579","IMM"
"201406579 IMM.ndpi.h46.jpg","201406579","IMM"
"201406579 IMM.ndpi.h47.jpg","201406579","IMM"
"201406579 IMM.ndpi.h48.jpg","201406579","IMM"
"201406579 IMM.ndpi.h49.jpg","201406579","IMM"
"201406579 IMM.ndpi.h5.jpg","201406579","IMM"
"201406579 IMM.ndpi.h50.jpg","201406579","IMM"
"201406579 IMM.ndpi.h51.jpg","201406579","IMM"
"201406579 IMM.ndpi.h6.jpg","201406579","IMM"
"201406579 IMM.ndpi.h7.jpg","201406579","IMM"
"201406579 IMM.ndpi.h8.jpg","201406579","IMM"
"201406579 IMM.ndpi.h9.jpg","201406579","IMM"
"201406581 DIFF.ndpi.h1.jpg","201406581","DIFF"
"201406581 DIFF.ndpi.h10.jpg","201406581","DIFF"
"201406581 DIFF.ndpi.h11.jpg","201406581","DIFF"
"201406581 DIFF.ndpi.h12.jpg","201406581","DIFF"
